,year,fips,state,state_po,county,office,candidate,party,candidatevotes,totalvotes,version,democrat_candidate,democrat_votes,republican_candidate,republican_votes,green_candidate,green_votes,other_candidate,other_votes,dem_share,rep_share
12820,2016,13121,Georgia,GA,Fulton,President,Hillary Clinton,democrat,297051.0,431391,20191203,Hillary Clinton,297051.0,Donald Trump,117783.0,,,Other,16557.0,0.6885887744528746,0.2730307308219226
12821,2016,13123,Georgia,GA,Gilmer,President,Hillary Clinton,democrat,1965.0,12773,20191203,Hillary Clinton,1965.0,Donald Trump,10477.0,,,Other,331.0,0.1538401315274407,0.8202458310498708
12822,2016,13125,Georgia,GA,Glascock,President,Hillary Clinton,democrat,138.0,1390,20191203,Hillary Clinton,138.0,Donald Trump,1235.0,,,Other,17.0,0.09928057553956834,0.8884892086330936
12823,2016,13127,Georgia,GA,Glynn,President,Hillary Clinton,democrat,11775.0,34263,20191203,Hillary Clinton,11775.0,Donald Trump,21512.0,,,Other,976.0,0.3436651781805446,0.6278492834836412
12824,2016,13129,Georgia,GA,Gordon,President,Hillary Clinton,democrat,3181.0,18959,20191203,Hillary Clinton,3181.0,Donald Trump,15191.0,,,Other,587.0,0.16778311092357193,0.8012553404715439
12825,2016,13131,Georgia,GA,Grady,President,Hillary Clinton,democrat,3013.0,9213,20191203,Hillary Clinton,3013.0,Donald Trump,6053.0,,,Other,147.0,0.32703788125474875,0.6570064039943558
12826,2016,13133,Georgia,GA,Greene,President,Hillary Clinton,democrat,3199.0,8852,20191203,Hillary Clinton,3199.0,Donald Trump,5490.0,,,Other,163.0,0.3613872571170357,0.6201988251242657
12827,2016,13135,Georgia,GA,Gwinnett,President,Hillary Clinton,democrat,166153.0,328331,20191203,Hillary Clinton,166153.0,Donald Trump,146989.0,,,Other,15189.0,0.5060533425110635,0.447685415023254
12828,2016,13137,Georgia,GA,Habersham,President,Hillary Clinton,democrat,2483.0,16243,20191203,Hillary Clinton,2483.0,Donald Trump,13190.0,,,Other,570.0,0.15286584990457427,0.8120421104475775
12829,2016,13139,Georgia,GA,Hall,President,Hillary Clinton,democrat,16180.0,70694,20191203,Hillary Clinton,16180.0,Donald Trump,51733.0,,,Other,2781.0,0.22887373751662093,0.7317877047557076
12830,2016,13141,Georgia,GA,Hancock,President,Hillary Clinton,democrat,2701.0,3580,20191203,Hillary Clinton,2701.0,Donald Trump,843.0,,,Other,36.0,0.7544692737430168,0.23547486033519552
12831,2016,13143,Georgia,GA,Haralson,President,Hillary Clinton,democrat,1475.0,11357,20191203,Hillary Clinton,1475.0,Donald Trump,9585.0,,,Other,297.0,0.12987584749493705,0.8439728801620147
12832,2016,13145,Georgia,GA,Harris,President,Hillary Clinton,democrat,4086.0,16502,20191203,Hillary Clinton,4086.0,Donald Trump,11936.0,,,Other,480.0,0.2476063507453642,0.7233062659071627
12833,2016,13147,Georgia,GA,Hart,President,Hillary Clinton,democrat,2585.0,10117,20191203,Hillary Clinton,2585.0,Donald Trump,7286.0,,,Other,246.0,0.2555105268360186,0.7201739646140161
